bun test v1.3.14 (0d9b296a)

tests/smithy/native.test.ts:
(pass) US-014-AC1: exact native metadata and recursive service shapes survive JSON/YAML [195.91ms]
(pass) US-014-AC2: unknown native meaning survives; unknown representation blocks export [52.77ms]
(pass) US-014-AC3: every pinned upstream valid-loader JSON fixture round-trips [2307.22ms]
(pass) US-014-AC13: mixins/with-on-next-line-byte.smithy retains exact source without claiming validity [25.07ms]
(pass) US-014-AC13: mixins/with-on-next-line-document.smithy retains exact source without claiming validity [24.61ms]
(pass) US-014-AC13: mixins/with-on-next-line-double.smithy retains exact source without claiming validity [26.89ms]
(pass) US-014-AC13: mixins/with-on-next-line-float.smithy retains exact source without claiming validity [24.78ms]
(pass) US-014-AC13: mixins/with-on-next-line-integer.smithy retains exact source without claiming validity [20.93ms]
(pass) US-014-AC13: mixins/with-on-next-line-list.smithy retains exact source without claiming validity [25.03ms]
(pass) US-014-AC13: mixins/with-on-next-line-long.smithy retains exact source without claiming validity [24.00ms]
(pass) US-014-AC13: mixins/with-on-next-line-map.smithy retains exact source without claiming validity [24.09ms]
(pass) US-014-AC13: mixins/with-on-next-line-resource.smithy retains exact source without claiming validity [24.90ms]
(pass) US-014-AC13: mixins/with-on-next-line-service.smithy retains exact source without claiming validity [23.30ms]
(pass) US-014-AC13: mixins/with-on-next-line-short.smithy retains exact source without claiming validity [22.41ms]
(pass) US-014-AC13: mixins/with-on-next-line-string.smithy retains exact source without claiming validity [25.76ms]
(pass) US-014-AC13: mixins/with-on-next-line-structure.smithy retains exact source without claiming validity [23.78ms]
(pass) US-014-AC13: mixins/with-on-next-line-timestamp.smithy retains exact source without claiming validity [24.55ms]
(pass) US-014-AC13: mixins/with-on-next-line-union.smithy retains exact source without claiming validity [23.65ms]
(pass) US-014-AC13: namespace/namespace-before-shapes.smithy retains exact source without claiming validity [23.20ms]
(pass) US-014-AC13: namespace/namespace-before-traits.smithy retains exact source without claiming validity [23.95ms]
(pass) US-014-AC13: namespace/namespace-defined-twice.smithy retains exact source without claiming validity [23.66ms]
(pass) US-014-AC13: namespace/namespace-multiple-lines.smithy retains exact source without claiming validity [23.37ms]
(pass) US-014-AC13: namespace/namespace-no-newline.smithy retains exact source without claiming validity [23.20ms]
(pass) US-014-AC13: namespace/namespace-syntax-error.smithy retains exact source without claiming validity [24.29ms]
(pass) US-014-AC13: namespace/unclosed-string1.smithy retains exact source without claiming validity [20.95ms]
(pass) US-014-AC13: namespace/unclosed-string2-invalid-single-quote.smithy retains exact source without claiming validity [25.15ms]
(pass) US-014-AC13: namespace/unclosed-string3.smithy retains exact source without claiming validity [24.00ms]
(pass) US-014-AC13: numbers/decimal-with-no-digit-after.smithy retains exact source without claiming validity [23.39ms]
(pass) US-014-AC13: numbers/exponent-with-no-digit.smithy retains exact source without claiming validity [23.48ms]
(pass) US-014-AC13: numbers/exponent-with-sign-then-no-digit.smithy retains exact source without claiming validity [23.86ms]
(pass) US-014-AC13: numbers/leading-decimal.smithy retains exact source without claiming validity [23.06ms]
(pass) US-014-AC13: numbers/negative-with-no-digit.smithy retains exact source without claiming validity [23.09ms]
(pass) US-014-AC13: operations/input-defined-twice.smithy retains exact source without claiming validity [23.65ms]
(pass) US-014-AC13: operations/invalid-operation-properties.smithy retains exact source without claiming validity [24.60ms]
(pass) US-014-AC13: operations/missing-ws-after-input.smithy retains exact source without claiming validity [25.79ms]
(pass) US-014-AC13: parse-errors/absolute-shape-name.smithy retains exact source without claiming validity [25.49ms]
(pass) US-014-AC13: parse-errors/expected-shape-id-after-type.smithy retains exact source without claiming validity [24.96ms]
(pass) US-014-AC13: parse-errors/expected-shape-name-but-eof.smithy retains exact source without claiming validity [25.20ms]
(pass) US-014-AC13: parse-errors/invalid-newline-after-shape-type.smithy retains exact source without claiming validity [23.37ms]
(pass) US-014-AC13: parse-errors/missing-space-after-string.smithy retains exact source without claiming validity [24.09ms]
(pass) US-014-AC13: parse-errors/missing-space-after-structure.smithy retains exact source without claiming validity [26.66ms]
(pass) US-014-AC13: parse-errors/shape-name-syntax.smithy retains exact source without claiming validity [23.99ms]
(pass) US-014-AC13: parse-errors/shape-name-syntax2.smithy retains exact source without claiming validity [25.60ms]
(pass) US-014-AC13: parse-errors/shape-name-syntax3.smithy retains exact source without claiming validity [24.24ms]
(pass) US-014-AC13: parse-errors/statement-unknown.smithy retains exact source without claiming validity [23.00ms]
(pass) US-014-AC13: parse-errors/syntax-error-token.smithy retains exact source without claiming validity [23.12ms]
(pass) US-014-AC13: strings/invalid-escape-apostrophe.smithy retains exact source without claiming validity [23.28ms]
(pass) US-014-AC13: strings/invalid-escape-space.smithy retains exact source without claiming validity [23.85ms]
(pass) US-014-AC13: strings/invalid-unicode-escape.smithy retains exact source without claiming validity [24.05ms]
(pass) US-014-AC13: strings/invalid-unicode-escape2.smithy retains exact source without claiming validity [25.55ms]
(pass) US-014-AC13: strings/invalid-unicode-escape3.smithy retains exact source without claiming validity [26.91ms]
(pass) US-014-AC13: strings/invalid-unicode-escape4.smithy retains exact source without claiming validity [25.22ms]
(pass) US-014-AC13: strings/invalid-unicode-escape5.smithy retains exact source without claiming validity [23.90ms]
(pass) US-014-AC13: strings/text-block-empty.smithy retains exact source without claiming validity [23.46ms]
(pass) US-014-AC13: strings/text-block-invalid-unicode.smithy retains exact source without claiming validity [24.06ms]
(pass) US-014-AC13: strings/text-block-missing-newline.smithy retains exact source without claiming validity [27.47ms]
(pass) US-014-AC13: strings/unclosed-string.smithy retains exact source without claiming validity [25.60ms]
(pass) US-014-AC13: strings/unclosed-string2.smithy retains exact source without claiming validity [23.82ms]
(pass) US-014-AC13: strings/unclosed-string3.smithy retains exact source without claiming validity [24.19ms]
(pass) US-014-AC13: strings/unclosed-text-block.smithy retains exact source without claiming validity [23.26ms]
(pass) US-014-AC13: traits/annotation-invalid-object-key1.smithy retains exact source without claiming validity [23.15ms]
(pass) US-014-AC13: traits/annotation-invalid-object-key2.smithy retains exact source without claiming validity [23.78ms]
(pass) US-014-AC13: traits/annotation-invalid-object-key3.smithy retains exact source without claiming validity [21.43ms]
(pass) US-014-AC13: traits/annotation-unclosed-list1.smithy retains exact source without claiming validity [25.12ms]
(pass) US-014-AC13: traits/annotation-unclosed-list2.smithy retains exact source without claiming validity [23.92ms]
(pass) US-014-AC13: traits/annotation-unclosed-list3.smithy retains exact source without claiming validity [24.50ms]
(pass) US-014-AC13: traits/annotation-unclosed-list4.smithy retains exact source without claiming validity [21.27ms]
(pass) US-014-AC13: traits/annotation-unclosed-object1.smithy retains exact source without claiming validity [25.56ms]
(pass) US-014-AC13: traits/annotation-unclosed-object2.smithy retains exact source without claiming validity [22.69ms]
(pass) US-014-AC13: traits/annotation-unclosed-object3.smithy retains exact source without claiming validity [26.64ms]
(pass) US-014-AC13: traits/annotation-unclosed-object4.smithy retains exact source without claiming validity [24.15ms]
(pass) US-014-AC13: traits/annotation-unclosed-object5.smithy retains exact source without claiming validity [24.00ms]
(pass) US-014-AC13: traits/annotation-unclosed-object6.smithy retains exact source without claiming validity [20.67ms]
(pass) US-014-AC13: traits/invalid-trait-shape-id-key.smithy retains exact source without claiming validity [24.98ms]
(pass) US-014-AC13: traits/invalid-trait-textblock-key.smithy retains exact source without claiming validity [21.01ms]
(pass) US-014-AC13: traits/trait-name-syntax.smithy retains exact source without claiming validity [24.19ms]
(pass) US-014-AC13: traits/trait-on-eof.smithy retains exact source without claiming validity [23.97ms]
(pass) US-014-AC13: traits/trait-trailing.smithy retains exact source without claiming validity [23.13ms]
(pass) US-014-AC13: traits/traits-on-apply.smithy retains exact source without claiming validity [23.88ms]
(pass) US-014-AC13: traits/traits-on-metadata.smithy retains exact source without claiming validity [23.74ms]
(pass) US-014-AC13: traits/traits-on-namespace.smithy retains exact source without claiming validity [21.73ms]
(pass) US-014-AC13: use/conflicting-shape-def.smithy retains exact source without claiming validity [26.25ms]
(pass) US-014-AC13: use/conflicting-trait-def.smithy retains exact source without claiming validity [25.99ms]
(pass) US-014-AC13: use/conflicting-use.smithy retains exact source without claiming validity [25.00ms]
(pass) US-014-AC13: use/use-after-shape.smithy retains exact source without claiming validity [23.61ms]
(pass) US-014-AC13: use/use-after-traitdef.smithy retains exact source without claiming validity [23.94ms]
(pass) US-014-AC13: use/use-empty-namespace.smithy retains exact source without claiming validity [24.53ms]
(pass) US-014-AC13: use/use-invalid-namespace.smithy retains exact source without claiming validity [23.55ms]
(pass) US-014-AC13: use/use-missing-after-namespace.smithy retains exact source without claiming validity [23.21ms]
(pass) US-014-AC13: use/use-missing-namespace.smithy retains exact source without claiming validity [23.56ms]
(pass) US-014-AC13: use/use-missing-newline.smithy retains exact source without claiming validity [23.88ms]
(pass) US-014-AC13: use/use-missing-space.smithy retains exact source without claiming validity [25.14ms]
(pass) US-014-AC13: use/use-multiple-lines-comment.smithy retains exact source without claiming validity [27.19ms]
(pass) US-014-AC13: use/use-multiple-lines.smithy retains exact source without claiming validity [23.93ms]
(pass) US-014-AC13: use/use-must-come-after-namespace.smithy retains exact source without claiming validity [23.59ms]
(pass) US-014-AC13: use/use-statement-invalid-id.smithy retains exact source without claiming validity [23.26ms]
(pass) US-014-AC13: use/use-with-member.smithy retains exact source without claiming validity [26.15ms]
(pass) US-014-AC13: version/idl-int-enums-in-v1.smithy retains exact source without claiming validity [23.92ms]
(pass) US-014-AC13: version/invalid-version-type.smithy retains exact source without claiming validity [23.52ms]
(pass) US-014-AC13: version/properties-v2-only.json retains exact source without claiming validity [23.76ms]
(pass) US-014-AC13: version/properties-v2-only.smithy retains exact source without claiming validity [22.75ms]
(pass) US-014-AC13: version/unsupported-version.smithy retains exact source without claiming validity [22.79ms]
(pass) US-014-AC13: version/version-set-more-than-once.smithy retains exact source without claiming validity [23.75ms]

tests/smithy/assembly.test.ts:
(pass) US-014-AC10: assembly contract retains exact model/source and isolates trusted backend input [48.15ms]
(pass) US-014-AC11: native rejection, runtime errors and malformed output expose no assembled model [115.99ms]
(pass) US-014-AC10: AST dependency IDs map to explicit supplied native files [28.99ms]

tests/smithy/worker.test.ts:
(pass) US-014-AC12: worker lifecycle terminates successful, cancelled, timed out and malformed jobs [174.43ms]
(pass) US-014-AC12: worker options reject invalid deadlines and URLs [0.36ms]
(pass) US-014-AC15: selection workers isolate payloads, cancel, time out and recover [21.41ms]

tests/smithy/selection.test.ts:
(pass) US-014-AC14: shape-set query preserves source and validates complete result schema [42.10ms]
(pass) US-014-AC14: invalid responses, failed assembly and selector exceptions expose no shape set [107.96ms]
(pass) US-014-AC15: cancellation between assembly and selection prevents query results [49.98ms]

tests/smithy/projection.test.ts:
(pass) US-014-AC16: explicit native projection retains source and blocks strict claims [115.11ms]
(pass) US-014-AC16: dangling native references and failed emission cannot expose a target [126.65ms]
(pass) US-014-AC17: explicit root-definition profile retains both outputs and refuses missing capability [139.63ms]
(pass) US-014-AC18: service context is explicit, preserved and capability checked [98.40ms]

 204 pass
 0 fail
 1001 expect() calls
Ran 204 tests across 7 files. [10.62s]
